IMP_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
IMP_14,2023-01-13,BUY_19509,Canada,Pharmaceuticals,0.0,122468126,5238,EU-GMP,0,0.3,0,1,0,5874,0,0.12,LinkedIn,0.0,1,1,1,1,0.78
IMP_15,2022-06-30,BUY_47441,Netherlands,IT Software,0.0,148373721,3202,SOC2,1,0.88,1,0,0,882,1,0.28,WhatsApp,0.1,0,0,0,1,0.29
IMP_16,2021-03-31,BUY_12443,Japan,Medical Devices,615.0,100714600,3462,ISO9001,1,0.86,0,1,1,2720,1,0.75,LinkedIn,0.0,1,1,1,1,-0.16
IMP_17,2024-01-18,BUY_19862,UK,Textiles,7641.0,82742166,4456,NaN,1,0.62,0,1,0,18172,1,0.32,WhatsApp,0.76,1,0,0,1,0.47
IMP_18,2023-04-07,NaN,Japan,Textiles,7143.0,104137127,3524,NaN,1,0.76,1,0,0,4629,0,0.02,LinkedIn,0.7,1,1,1,1,-0.45
IMP_19,2023-03-22,BUY_49974,Germany,Pharmaceuticals,0.0,174749021,4112,FDA,0,0.81,0,0,1,14661,0,0.97,WhatsApp,0.0,1,1,1,0,-0.33
IMP_20,2024-02-20,BUY_37978,Italy,Machinery,0.0,17722046,1541,ISO9001,1,0.98,0,0,1,17039,0,0.67,LinkedIn,0.0,0,1,0,1,-0.11
IMP_21,2024-08-14,BUY_97828,France,Chemicals,0.0,22186895,1505,RoHS,0,0.9,1,1,0,10939,0,0.22,WhatsApp,0.0,0,1,0,0,-0.53
IMP_22,2021-03-06,BUY_64456,Germany,Medical Devices,0.0,100762209,4134,NaN,0,0.14,1,1,1,19318,0,0.06,WhatsApp,0.0,1,1,1,0,0.76
IMP_23,2021-11-27,BUY_97360,France,Chemicals,0.0,185643695,3751,ISO14001,1,0.01,0,0,0,10779,0,0.33,Call,0.0,0,1,1,0,-0.62
IMP_24,2022-11-25,BUY_51889,France,Solar,1218.0,110524879,531,IEC,0,0.9,1,Unknown,0,16820,1,0.33,LinkedIn,0.49,0,0,1,0,0.2
IMP_25,2022-07-25,BUY_61693,Germany,Machinery,734.0,39224548,4890,NaN,0,0.85,0,1,1,14049,1,0.79,NaN,0.74,1,1,1,0,-0.12
IMP_26,2023-06-13,BUY_31039,Netherlands,IT Software,5647.0,147071170,3993,SOC2,1,0.68,1,Unknown,1,12872,1,0.62,WhatsApp,0.87,1,0,0,0,-0.81
IMP_27,2024-07-09,BUY_94793,Australia,Auto Parts,0.0,92381382,3221,NaN,1,0.93,1,1,1,865,1,0.16,WhatsApp,0.37,1,1,1,1,0.64
IMP_28,2023-06-16,BUY_25757,Netherlands,Pharmaceuticals,3920.0,124668788,6398,WHO-GMP,1,0.59,0,0,1,12386,0,0.9,Call,0.0,1,1,0,1,-0.91
IMP_29,2023-07-05,BUY_85248,Canada,Textiles,5730.0,157742656,3112,NaN,1,0.93,1,0,0,14842,0,0.7,Call,0.0,0,0,0,1,0.02
IMP_30,2022-06-29,BUY_89136,Canada,Machinery,7068.0,165092913,3212,ISO9001,1,0.28,1,Unknown,0,6758,0,0.83,Call,0.0,1,0,1,1,0.45
IMP_31,2023-03-30,BUY_79130,Netherlands,Electronics,5531.0,166405030,4848,ISO9001,0,0.52,1,Unknown,1,5628,1,0.02,NaN,0.0,1,0,1,0,-0.62
IMP_32,2021-04-27,BUY_60292,Germany,Engineering,0.0,86739965,6072,CE,0,0.64,1,Unknown,1,15974,1,0.57,Email,0.0,1,0,0,1,0.71
IMP_33,2024-07-28,BUY_72424,USA,Machinery,0.0,73804829,1318,NaN,1,0.71,0,0,0,15732,0,0.44,Email,0.0,1,0,1,0,0.05
IMP_34,2021-10-07,NaN,Netherlands,Chemicals,3223.0,176379593,4205,NaN,1,0.66,1,Unknown,1,17496,1,0.54,Call,0.06,0,1,1,0,-0.55
IMP_35,2023-06-01,NaN,Italy,IT Software,0.0,168110009,3171,GDPR,0,0.04,0,Unknown,0,8608,1,0.14,Call,0.0,1,0,0,0,-0.56
IMP_36,2022-10-16,BUY_97110,Singapore,Machinery,7283.0,83867050,614,ISO9001,1,0.5,0,1,0,6323,1,0.41,LinkedIn,0.0,1,1,1,0,-0.23
IMP_37,2022-10-04,BUY_89236,Singapore,Chemicals,4420.0,2971767,2779,ISO14001,0,0.58,1,Unknown,0,16729,0,0.44,Call,0.0,0,0,1,0,-0.13
IMP_38,2024-07-08,BUY_21575,USA,Medical Devices,2462.0,30134575,2801,ISO9001,0,0.91,0,0,0,2825,1,0.65,NaN,0.0,0,1,0,0,-0.26
IMP_39,2024-02-03,BUY_39869,USA,Engineering,0.0,138477114,6702,ISO14001,1,0.83,0,Unknown,1,18956,0,0.78,NaN,0.0,1,1,0,1,-0.4
IMP_40,2022-03-04,BUY_89537,Germany,Medical Devices,2827.0,102230652,2054,NaN,0,0.3,0,Unknown,0,16470,1,0.12,LinkedIn,0.01,1,0,1,0,-0.47
IMP_41,2022-05-03,BUY_41912,Japan,Engineering,5980.0,140335547,3209,ISO9001,1,0.77,0,1,0,2858,0,0.42,Call,0.67,1,1,1,0,0.79
IMP_42,2025-01-07,BUY_29660,UK,Medical Devices,0.0,69371546,1772,ISO9001,1,0.29,1,1,0,14686,0,0.76,LinkedIn,0.63,0,1,1,1,0.13
IMP_43,2021-07-04,BUY_63247,USA,Medical Devices,0.0,34705741,1855,ISO9001,1,0.4,0,0,1,15264,0,0.92,Email,0.0,0,0,0,0,-0.66
IMP_44,2021-06-26,BUY_58814,Australia,Pharmaceuticals,0.0,75618508,5654,NaN,0,0.29,1,0,1,15787,1,0.1,Email,0.0,1,0,1,0,0.72
IMP_45,2024-11-27,BUY_40107,Singapore,Auto Parts,1083.0,128367759,6458,ISO9001,1,0.78,0,1,0,17299,0,0.69,LinkedIn,0.0,0,1,0,0,-0.89
IMP_46,2022-05-19,BUY_36298,Germany,IT Software,0.0,131918980,3706,GDPR,0,0.65,0,Unknown,1,1348,1,0.55,WhatsApp,0.24,1,0,1,1,0.65
IMP_47,2024-07-27,BUY_60221,Netherlands,Chemicals,0.0,31482884,1400,NaN,0,0.01,0,1,1,10378,0,0.72,NaN,0.0,0,0,0,1,-0.86
IMP_48,2022-05-05,BUY_35192,Germany,Textiles,0.0,82463672,6825,NaN,0,0.68,0,Unknown,1,4442,1,0.17,LinkedIn,0.0,1,1,0,1,0.4
IMP_49,2024-01-14,BUY_63568,Canada,Chemicals,0.0,142762084,3172,NaN,0,0.79,1,1,1,10350,0,0.08,LinkedIn,0.0,0,1,1,1,-0.75
IMP_50,2024-05-28,BUY_97464,UAE,Machinery,0.0,29571742,3176,NaN,1,0.98,1,0,0,497,0,0.65,NaN,0.0,1,1,0,1,-0.51
IMP_51,2023-10-03,BUY_48377,Italy,Machinery,0.0,84191106,5357,NaN,0,0.59,1,1,1,9068,0,0.87,Email,0.7,1,1,0,0,-0.48
IMP_52,2022-04-25,BUY_77758,Singapore,Textiles,4428.0,169147406,5787,ISO9001,1,0.82,0,0,1,9237,0,0.54,NaN,0.66,0,0,1,1,-0.55
IMP_53,2024-02-09,BUY_13714,France,Pharmaceuticals,0.0,19833852,6974,FDA,1,0.05,0,Unknown,0,17580,1,0.49,Email,0.0,1,0,1,0,-0.7
IMP_54,2022-04-01,BUY_37063,UAE,Machinery,0.0,143465332,4273,ISO9001,0,0.58,0,1,0,982,1,0.19,NaN,0.91,1,0,0,1,-0.87
IMP_55,2024-02-01,BUY_95493,Japan,Auto Parts,0.0,117381212,1698,NaN,0,0.08,0,0,0,3343,1,0.01,LinkedIn,0.0,0,1,1,1,0.73
IMP_56,2021-08-12,BUY_15899,Italy,IT Software,0.0,166997687,4838,SOC2,1,0.52,0,1,1,6253,0,0.63,WhatsApp,0.0,0,0,1,0,-0.25
IMP_57,2022-08-02,BUY_47904,Japan,Machinery,0.0,130067806,3484,NaN,0,0.7,1,1,1,17874,0,0.08,NaN,0.85,0,1,0,0,0.56
IMP_58,2023-05-20,BUY_28896,Germany,Medical Devices,0.0,119315005,6733,NaN,1,0.81,0,0,1,101,1,0.47,Call,0.46,1,0,0,0,-0.89
IMP_59,2024-11-30,BUY_95761,UK,Auto Parts,1543.0,140899688,512,ISO9001,1,0.64,0,Unknown,1,16190,1,0.34,Call,0.17,0,0,0,0,-0.81
IMP_60,2023-04-11,BUY_80343,France,Pharmaceuticals,0.0,59551210,2238,WHO-GMP,0,0.58,0,Unknown,0,292,0,0.5,Call,0.65,0,0,1,0,-0.98
IMP_61,2021-07-18,BUY_45259,Italy,Machinery,1266.0,12396285,4118,ISO9001,1,0.07,0,1,1,10490,1,0.4,Call,0.41,0,1,1,1,-0.04
IMP_62,2022-09-09,BUY_96553,UK,Machinery,0.0,55406248,628,ISO9001,1,0.33,1,0,0,459,1,0.6,Email,0.0,0,0,0,1,-0.31
IMP_63,2023-04-22,BUY_61505,Australia,Machinery,0.0,74875726,2685,NaN,0,0.51,1,Unknown,1,4669,0,0.89,NaN,0.16,0,1,0,1,-0.36
IMP_64,2024-08-18,BUY_53712,Australia,Auto Parts,6907.0,170139122,585,ISO9001,0,0.5,0,1,1,10222,0,0.91,Email,0.0,0,1,1,0,-0.72
IMP_65,2021-07-15,BUY_78320,Netherlands,Electronics,0.0,87398604,2117,ISO9001,1,0.26,1,1,0,14394,0,0.25,LinkedIn,0.0,0,1,0,1,0.38
IMP_66,2024-03-28,NaN,Australia,Auto Parts,6800.0,96495836,4812,ISO9001,1,0.84,1,1,0,4715,1,0.74,Email,0.0,0,0,1,1,-0.78
IMP_67,2024-08-15,BUY_19168,Singapore,Chemicals,0.0,139147719,4854,RoHS,0,0.39,0,1,0,10189,0,0.02,LinkedIn,0.22,0,0,1,0,0.11
IMP_68,2022-08-12,BUY_18650,Germany,Machinery,0.0,156726210,579,NaN,0,0.81,0,0,0,14307,1,0.89,LinkedIn,0.22,1,1,1,1,0.16
IMP_69,2022-12-16,BUY_19178,Canada,Engineering,7971.0,145071116,3633,ISO14001,0,0.15,1,1,1,16885,0,0.83,LinkedIn,0.0,0,0,0,0,0.4
IMP_70,2023-08-28,BUY_67306,Germany,Machinery,0.0,161301750,6228,NaN,0,0.44,1,1,0,1875,0,0.07,WhatsApp,0.0,1,1,0,1,0.75
IMP_71,2022-01-01,BUY_27789,Canada,Chemicals,0.0,150275438,2119,ISO14001,1,0.72,0,0,1,1024,1,0.33,NaN,0.0,0,1,0,0,0.77
IMP_72,2022-12-16,BUY_73488,Australia,Engineering,4694.0,83944201,2867,NaN,1,0.19,0,0,0,12043,0,0.18,Email,0.9,1,1,1,0,0.97
IMP_73,2022-06-07,BUY_52687,Canada,Electronics,3053.0,131375973,198,NaN,0,0.25,1,1,1,3175,0,0.0,Call,0.0,0,0,0,1,0.41
IMP_74,2022-11-02,BUY_30293,Australia,Pharmaceuticals,4885.0,124955242,438,WHO-GMP,1,0.59,1,0,0,15352,0,0.75,WhatsApp,0.67,1,1,1,0,0.73
IMP_75,2023-12-14,BUY_96386,Singapore,Auto Parts,0.0,183831701,1440,NaN,0,0.12,0,0,0,4081,1,0.04,WhatsApp,0.0,0,0,0,1,-0.17
IMP_76,2023-06-30,BUY_51006,USA,Engineering,6745.0,13031445,6030,ISO14001,0,0.22,0,Unknown,0,9848,1,0.78,Call,0.54,0,0,1,0,-0.33
IMP_77,2023-07-25,BUY_66946,UK,Electronics,7045.0,7115746,1162,NaN,1,0.17,0,Unknown,0,317,1,0.12,Call,0.0,0,0,0,1,-0.23
IMP_78,2022-05-01,BUY_20402,France,Medical Devices,849.0,79350721,6219,NaN,1,0.22,0,0,1,2613,1,0.74,WhatsApp,0.79,1,0,1,1,0.66
IMP_79,2022-10-15,BUY_97133,Singapore,Electronics,0.0,8818294,1490,NaN,0,0.84,0,0,1,14538,1,0.36,Call,0.0,0,0,1,1,-0.59
IMP_80,2023-11-08,BUY_97050,Singapore,Solar,0.0,51491274,6878,UL,1,0.85,0,Unknown,1,5259,1,0.6,Email,0.29,1,1,1,1,0.71
IMP_81,2022-02-10,BUY_93503,UAE,Auto Parts,0.0,187183756,1008,ISO9001,1,0.36,1,0,0,141,0,0.03,WhatsApp,0.0,1,0,0,0,0.43
IMP_82,2022-10-22,BUY_32334,Germany,Machinery,0.0,24644866,3038,ISO9001,1,0.63,1,0,1,11489,1,0.79,LinkedIn,0.34,0,0,0,1,0.6
IMP_83,2023-07-20,BUY_30672,Netherlands,Solar,0.0,182024423,5842,TUV,1,0.9,1,Unknown,0,15232,1,0.5,LinkedIn,0.03,1,0,1,1,-0.08
IMP_84,2024-09-28,BUY_33049,Canada,Solar,0.0,131563485,113,NaN,0,0.05,0,1,1,3326,1,0.92,Call,0.68,1,0,0,0,0.57
IMP_85,2022-04-22,BUY_81349,UAE,Engineering,1680.0,139126831,4901,ISO9001,0,0.19,1,1,0,10910,1,0.52,Email,0.0,1,0,1,0,-0.93
IMP_86,2022-04-03,BUY_76644,Germany,Engineering,0.0,77201402,3238,ISO14001,0,0.86,1,0,1,33,1,0.89,Call,0.44,0,0,0,1,-0.02
IMP_87,2023-03-31,BUY_77500,Germany,Pharmaceuticals,1251.0,54673488,5835,EU-GMP,1,0.1,1,Unknown,1,7236,1,0.08,Email,0.0,1,1,1,0,-0.8
IMP_88,2024-05-18,BUY_84172,Netherlands,Medical Devices,0.0,173148666,1960,ISO9001,0,0.64,1,0,1,9555,0,0.61,LinkedIn,0.0,0,0,0,0,-0.85
IMP_89,2022-09-20,BUY_76938,USA,Auto Parts,0.0,20530659,529,NaN,0,0.27,0,0,1,7390,1,0.6,LinkedIn,0.68,0,1,1,0,-0.84
IMP_90,2023-03-31,BUY_73985,Germany,Textiles,0.0,12467283,2715,ISO9001,0,0.6,0,0,1,10165,0,0.56,Call,0.0,1,0,1,1,-0.12
IMP_91,2023-08-09,BUY_49029,UAE,Machinery,0.0,44961466,3483,ISO9001,1,0.29,0,1,0,4709,1,0.85,Call,0.0,0,0,0,0,-0.03
IMP_92,2021-11-10,BUY_32101,Australia,Auto Parts,0.0,110913944,5714,ISO9001,1,0.27,0,1,1,4586,0,0.87,LinkedIn,0.0,1,0,0,0,0.18
IMP_93,2024-09-17,NaN,Singapore,Textiles,6177.0,154943558,839,ISO9001,1,0.89,1,1,1,18468,1,0.57,LinkedIn,0.78,0,0,1,1,-0.18
IMP_94,2021-09-05,BUY_55719,Italy,Pharmaceuticals,601.0,86632456,3297,NaN,1,0.46,1,1,1,6579,0,0.7,NaN,0.0,0,0,1,0,-0.19
IMP_95,2024-11-26,BUY_49318,Singapore,Medical Devices,5342.0,95331465,4852,ISO9001,0,0.32,0,Unknown,1,14155,0,0.15,Email,0.0,0,0,0,1,0.41
IMP_96,2022-06-28,BUY_95323,UAE,Electronics,1898.0,71585700,1544,ISO9001,0,0.87,1,1,0,19106,1,0.56,NaN,0.13,1,1,1,0,0.93
IMP_97,2022-09-12,BUY_72770,Italy,Auto Parts,6414.0,93072318,6235,ISO9001,0,0.76,1,0,1,1887,0,0.51,Email,0.0,0,0,0,0,0.16
IMP_98,2023-08-30,BUY_69529,UAE,Engineering,0.0,176388202,6944,NaN,0,0.36,0,0,1,15292,0,0.23,Call,0.0,1,1,0,1,-0.95
IMP_99,2023-10-10,BUY_68231,USA,Textiles,0.0,124769331,1110,ISO9001,1,0.08,1,0,0,2885,1,0.09,NaN,0.0,1,1,0,0,0.49
IMP_100,2022-07-25,BUY_61627,Japan,Pharmaceuticals,227.0,132551018,6821,NaN,1,0.67,1,0,0,551,0,0.42,NaN,0.0,0,0,0,1,0.89
IMP_101,2024-06-11,BUY_26804,France,Textiles,6733.0,115277126,5832,ISO9001,0,0.48,1,0,1,10212,0,0.84,LinkedIn,0.0,1,0,1,1,-0.43
IMP_102,2023-08-19,BUY_22314,Singapore,Auto Parts,2613.0,106379243,2379,NaN,0,0.8,0,0,1,8041,1,0.39,NaN,0.0,1,0,1,0,0.25
IMP_103,2024-04-01,BUY_45350,Germany,Solar,5361.0,199858695,1457,UL,1,0.68,0,0,1,19843,0,0.62,WhatsApp,0.0,0,1,1,1,-0.57
IMP_104,2023-02-19,BUY_80482,Japan,Machinery,0.0,12949138,5001,ISO9001,1,0.69,1,1,0,10537,1,0.38,Email,0.24,0,1,1,0,0.61
IMP_105,2021-04-11,BUY_21228,Australia,Medical Devices,0.0,80259806,6150,NaN,0,0.17,1,0,0,18410,1,0.54,WhatsApp,0.0,0,0,1,1,-0.87
IMP_106,2022-01-10,BUY_85943,Germany,Engineering,0.0,25122950,227,CE,0,0.01,1,Unknown,0,5439,1,0.32,LinkedIn,0.57,1,1,0,0,0.54
IMP_107,2022-08-22,BUY_92470,USA,Engineering,0.0,140326973,6470,CE,1,0.21,1,0,1,19121,0,0.61,WhatsApp,0.0,1,1,1,0,-0.32
IMP_108,2021-05-03,BUY_37176,UAE,Electronics,0.0,3149196,6670,NaN,1,0.04,0,Unknown,0,4274,0,0.5,LinkedIn,0.62,1,0,1,0,-0.31
IMP_109,2023-04-21,BUY_37347,Germany,Machinery,0.0,93043304,689,NaN,0,0.71,1,Unknown,0,11639,1,0.89,Call,0.0,1,0,1,0,0.99
IMP_110,2022-03-21,BUY_92178,Australia,Medical Devices,0.0,68168748,6752,ISO9001,0,0.26,1,0,0,2400,1,0.37,NaN,0.0,0,0,1,1,0.03
IMP_111,2021-02-18,BUY_31106,Singapore,Electronics,0.0,109333468,1003,NaN,1,0.67,1,0,1,5842,1,0.52,LinkedIn,0.0,0,0,0,1,-0.01
IMP_112,2021-10-14,BUY_46556,Netherlands,Textiles,644.0,110574285,75,NaN,0,0.59,1,1,0,9285,1,0.32,NaN,0.0,0,1,0,1,-0.52
IMP_113,2023-02-03,BUY_32300,Canada,Machinery,0.0,42806299,1175,NaN,0,0.6,0,Unknown,0,16669,1,0.47,LinkedIn,0.21,1,0,0,1,-0.1
IMP_114,2023-01-15,BUY_41495,Netherlands,Machinery,0.0,175867280,225,NaN,0,0.87,0,Unknown,0,4052,1,0.11,Call,0.0,1,0,1,1,-0.42
IMP_115,2023-08-01,BUY_93183,Canada,Engineering,0.0,190313371,3444,NaN,0,0.37,1,1,1,7400,0,0.49,NaN,0.0,0,1,1,0,-0.01
IMP_116,2022-01-24,BUY_16792,UAE,Electronics,7161.0,91849339,2610,ISO9001,1,0.18,1,0,0,16275,1,0.17,WhatsApp,0.0,0,0,0,0,-0.25
IMP_117,2024-11-14,BUY_21823,USA,Pharmaceuticals,0.0,168146337,4322,EU-GMP,0,0.73,0,0,0,8018,1,0.43,LinkedIn,0.0,1,1,0,1,-0.41
IMP_118,2024-12-20,BUY_52991,Germany,Solar,0.0,8457614,4565,NaN,1,0.09,1,1,0,8578,1,0.53,Call,0.0,1,0,1,1,0.31
IMP_119,2023-04-19,BUY_38539,UK,Solar,0.0,42695474,6125,NaN,1,0.04,1,Unknown,0,17597,0,0.23,LinkedIn,0.0,1,0,0,0,0.04
IMP_120,2023-09-03,BUY_90628,France,Electronics,4188.0,69912361,3358,ISO9001,1,0.71,1,1,0,6693,0,0.96,NaN,0.0,1,1,0,0,0.15
IMP_121,2021-08-06,NaN,USA,Chemicals,4788.0,48775708,4051,RoHS,0,0.31,0,Unknown,1,13332,0,0.48,Call,0.36,0,0,1,1,-0.76
IMP_122,2021-09-04,BUY_67801,Germany,Solar,2953.0,186440839,5453,TUV,1,0.79,0,1,1,2757,1,0.27,NaN,0.24,1,0,1,1,0.12
IMP_123,2023-06-03,BUY_24386,France,Pharmaceuticals,0.0,145553672,1432,FDA,0,0.86,0,1,1,6333,1,0.23,Call,0.0,0,1,1,1,0.62
IMP_124,2022-01-22,BUY_66085,Japan,Chemicals,0.0,122491512,6286,NaN,0,0.28,0,0,1,13887,0,0.26,WhatsApp,0.91,1,1,1,0,0.76
IMP_125,2024-06-11,BUY_93870,UK,Engineering,3637.0,114226966,1641,NaN,0,0.82,0,Unknown,1,8344,1,0.64,WhatsApp,0.0,0,1,1,1,0.02
IMP_126,2023-01-28,BUY_65088,Japan,Solar,6299.0,39303007,1373,NaN,0,0.57,0,1,1,17761,0,0.76,WhatsApp,0.0,1,1,1,1,0.27
IMP_127,2022-09-22,BUY_78595,Singapore,Medical Devices,1323.0,102415272,4256,NaN,0,0.55,1,0,0,19694,0,0.48,NaN,0.0,1,0,1,0,0.32
IMP_128,2024-07-03,BUY_61290,France,Solar,2875.0,155969314,1574,TUV,1,0.46,0,Unknown,1,3116,0,0.03,Email,0.0,1,1,1,0,-0.08
IMP_129,2022-01-23,BUY_49793,Japan,Engineering,3579.0,84820479,4760,NaN,1,0.8,0,Unknown,1,628,1,0.27,Email,0.0,0,1,1,1,-0.83
IMP_130,2021-09-12,BUY_79373,France,Electronics,4020.0,166566908,4441,NaN,0,0.62,0,Unknown,1,7018,0,0.93,NaN,0.28,0,0,0,0,-0.07
IMP_131,2021-05-12,BUY_67968,USA,Auto Parts,0.0,146436634,3629,ISO9001,1,0.32,1,0,0,1852,0,0.19,NaN,0.0,1,1,0,0,-0.98
IMP_132,2021-09-26,BUY_18497,Italy,Auto Parts,809.0,37027877,4746,NaN,1,0.43,0,1,1,12855,1,0.61,LinkedIn,0.24,1,1,0,1,0.27
IMP_133,2022-08-12,BUY_24905,UAE,Electronics,0.0,28117517,3065,NaN,1,0.4,1,Unknown,0,7909,0,0.7,Email,0.0,0,1,1,1,0.68
IMP_134,2021-01-10,BUY_11738,Netherlands,Electronics,0.0,87175760,4379,NaN,1,0.44,0,0,1,4118,1,0.5,Email,0.0,1,0,0,1,-0.32
IMP_135,2023-02-28,BUY_70494,Netherlands,Chemicals,0.0,112319303,406,NaN,1,0.7,0,1,1,12721,1,0.15,NaN,0.0,1,1,0,1,0.08
IMP_136,2024-09-01,BUY_28971,UK,Machinery,0.0,198418012,5676,ISO9001,0,0.79,0,1,1,729,0,0.82,Email,0.37,0,1,0,1,0.38
IMP_137,2024-10-21,BUY_38329,Italy,Engineering,0.0,152017005,3902,CE,1,0.06,1,Unknown,1,15411,1,0.86,WhatsApp,0.1,0,1,0,0,0.04
IMP_138,2022-03-17,BUY_51149,UK,Pharmaceuticals,0.0,177278452,5357,NaN,0,0.17,0,1,1,17125,1,0.2,Email,0.0,1,0,0,1,0.33
IMP_139,2022-04-11,BUY_56253,UAE,Engineering,0.0,199348213,1454,NaN,1,0.96,1,Unknown,1,10345,1,0.08,NaN,0.0,0,0,1,0,-0.79
IMP_140,2022-01-27,BUY_46130,Japan,Auto Parts,5588.0,130357772,2711,ISO9001,0,0.65,1,1,0,14838,0,0.14,NaN,0.48,1,0,1,1,0.51
IMP_141,2021-12-11,BUY_21527,USA,Medical Devices,0.0,73613918,5644,NaN,0,0.89,0,Unknown,0,15081,1,0.29,Call,0.0,0,1,1,0,0.42
IMP_142,2022-05-25,BUY_62172,Australia,Engineering,0.0,96465692,5342,ISO14001,1,0.97,0,0,1,11048,0,0.06,NaN,0.26,0,1,1,1,0.34
IMP_143,2022-06-23,BUY_53757,France,Textiles,7202.0,159274110,2401,ISO9001,1,0.75,0,Unknown,1,16757,0,0.19,WhatsApp,0.0,1,1,1,0,0.62
IMP_144,2022-04-04,BUY_32606,Italy,Electronics,0.0,6841818,3862,ISO9001,1,0.7,1,0,1,12873,0,0.53,Call,0.0,0,1,1,0,-0.87
IMP_145,2023-05-09,BUY_24608,UK,Chemicals,5909.0,62273492,6593,ISO14001,1,0.27,0,0,1,6893,0,0.96,NaN,0.0,0,0,1,1,-0.78
IMP_146,2024-12-03,BUY_64927,UK,Engineering,0.0,115796261,5275,ISO14001,0,0.24,1,1,0,6919,0,0.65,NaN,0.99,1,1,1,0,-0.72
IMP_147,2021-08-26,BUY_32985,Netherlands,IT Software,6178.0,12308089,5339,ISO27001,1,0.41,1,Unknown,0,15528,1,0.79,Email,0.0,1,0,0,1,-0.44
IMP_148,2024-08-10,BUY_56328,UAE,Solar,0.0,110627227,6255,IEC,0,0.29,1,1,0,4610,0,0.13,WhatsApp,0.75,1,0,1,1,-0.09
IMP_149,2021-12-15,BUY_35493,France,Solar,0.0,131933984,4948,IEC,0,0.35,1,1,0,15001,0,0.12,LinkedIn,0.4,1,0,1,0,-0.21
IMP_150,2024-05-31,BUY_30852,Netherlands,Medical Devices,545.0,111643056,6942,NaN,1,0.41,0,Unknown,0,12821,0,0.01,NaN,0.0,1,1,0,1,0.14
IMP_151,2024-11-05,BUY_34232,France,Solar,5697.0,75041002,4430,UL,1,0.69,1,1,0,5516,0,0.45,Call,0.0,1,0,1,0,-0.57
IMP_152,2021-05-12,BUY_85208,Italy,Electronics,0.0,22197598,2961,ISO9001,1,0.69,0,0,1,5929,1,0.68,Call,0.0,1,0,1,0,-0.85
