NEWS_ID,Date,Region,Event_Type,Impact_Level,Affected_Industry,Tariff_Change,StockMarket_Shock,War_Flag,Natural_Calamity_Flag,Currency_Shift
NEWS_18,2022-12-05,Middle East,Trade Agreement,High,IT Software,-0.86,0.14,1,0,0.38
NEWS_19,2023-10-22,Asia,Stock Crash,High,Solar,0.75,0.3,1,0,-0.88
NEWS_20,2021-01-23,Global,Natural Calamity,Medium,Pharmaceuticals,0.44,-0.67,1,0,0.51
NEWS_21,2023-10-15,Global,Trade Agreement,High,Solar,0.11,0.51,1,1,0.34
NEWS_22,2022-11-01,Middle East,Natural Calamity,High,Solar,-0.25,0.32,1,0,0.97
NEWS_23,2021-01-10,Asia,Stock Crash,High,Textiles,0.96,0.43,0,0,-0.94
NEWS_24,2023-02-27,Global,Tariff Update,Medium,Machinery,-0.18,-0.47,1,1,-0.98
NEWS_25,2021-01-27,Global,Trade Agreement,High,Medical Devices,0.09,0.32,0,0,0.75
NEWS_26,2023-10-17,Global,Stock Crash,Medium,Electronics,-0.54,-0.11,0,0,0.34
NEWS_27,2024-07-10,North America,Supply Chain Shock,Medium,Medical Devices,0.65,-0.38,0,1,0.65
NEWS_28,2023-08-27,Global,Stock Crash,High,Chemicals,0.79,-0.04,0,0,-0.95
NEWS_29,2023-07-29,Asia,Natural Calamity,Low,Auto Parts,-0.95,-0.95,0,0,0.48
NEWS_30,2022-08-26,Europe,Trade Agreement,Low,Machinery,-0.98,0.14,1,0,-0.66
NEWS_31,2022-10-21,Middle East,Stock Crash,Medium,Textiles,-0.48,0.76,0,1,-0.36
NEWS_32,2024-06-03,Asia,Stock Crash,High,Textiles,-0.64,-0.85,1,0,-0.37
NEWS_33,2022-08-02,Europe,Trade Agreement,Medium,Textiles,-0.11,0.49,1,0,-0.32
NEWS_34,2024-04-23,Global,Stock Crash,High,Auto Parts,0.34,-0.13,1,1,-0.64
NEWS_35,2022-05-09,Europe,Stock Crash,Low,Electronics,0.25,-0.74,1,0,-0.09
NEWS_36,2024-11-01,Asia,Tariff Update,Medium,Textiles,-0.45,-0.88,1,0,-0.62
NEWS_37,2024-09-27,Middle East,Stock Crash,Medium,Machinery,0.29,-0.83,0,1,0.5
NEWS_38,2023-01-19,Europe,Trade Agreement,Low,Machinery,0.81,0.5,0,0,0.89
NEWS_39,2024-11-17,Global,Trade Agreement,High,Electronics,0.54,0.91,0,1,0.16
NEWS_40,2022-12-02,North America,Supply Chain Shock,Low,Machinery,0.17,-0.08,0,1,0.16
NEWS_41,2023-10-08,North America,Supply Chain Shock,Medium,Medical Devices,-0.97,0.59,1,0,0.38
NEWS_42,2022-07-25,Global,War Alert,Medium,Auto Parts,0.01,-0.81,0,0,0.58
NEWS_43,2023-10-28,North America,Trade Agreement,High,Textiles,0.0,-0.85,0,1,-0.81
NEWS_44,2022-11-26,Europe,Stock Crash,Low,Medical Devices,-0.14,0.02,1,1,0.23
NEWS_45,2022-02-27,Europe,Trade Agreement,Medium,Auto Parts,0.49,0.13,0,0,0.24
NEWS_46,2024-11-11,Global,Stock Crash,High,IT Software,0.82,0.13,0,0,0.32
NEWS_47,2021-05-06,Global,Tariff Update,High,Engineering,-0.51,0.28,0,0,-0.3
NEWS_48,2025-01-06,Global,Supply Chain Shock,High,Engineering,0.33,0.5,0,0,-0.59
NEWS_49,2021-07-10,North America,Natural Calamity,Low,Electronics,-0.33,-0.5,0,1,-0.88
NEWS_50,2023-01-27,North America,War Alert,Medium,Medical Devices,0.58,0.77,1,0,0.83
NEWS_51,2021-07-17,Europe,Trade Agreement,Medium,Machinery,0.34,-0.23,1,0,0.8
NEWS_52,2022-02-16,North America,Stock Crash,Medium,Pharmaceuticals,-0.84,-0.49,1,1,-0.29
NEWS_53,2021-08-17,Asia,Trade Agreement,Medium,IT Software,0.94,-0.75,1,1,0.55
NEWS_54,2021-11-10,Europe,Stock Crash,Medium,Textiles,0.43,0.85,1,0,0.34
NEWS_55,2024-05-17,Middle East,Stock Crash,Low,IT Software,-0.63,-0.61,1,1,0.88
NEWS_56,2022-10-08,Europe,Natural Calamity,Medium,Auto Parts,0.29,-0.69,0,0,-0.91
NEWS_57,2021-07-18,North America,Tariff Update,High,Engineering,0.26,0.56,0,1,0.95
NEWS_58,2024-02-17,Asia,Tariff Update,High,Engineering,0.7,-0.35,1,0,-0.49
NEWS_59,2024-04-05,Asia,War Alert,Medium,Engineering,0.63,-0.64,1,0,0.3
NEWS_60,2023-01-13,Europe,Trade Agreement,High,Machinery,-0.8,0.64,0,0,0.55
NEWS_61,2024-12-31,North America,Supply Chain Shock,High,Engineering,-0.24,-0.33,1,0,0.97
NEWS_62,2025-01-24,North America,Tariff Update,Medium,Electronics,-0.95,0.95,1,1,-0.14
NEWS_63,2023-03-05,Global,War Alert,High,Machinery,0.98,-0.45,1,1,0.75
NEWS_64,2024-12-31,Asia,War Alert,Low,Solar,0.02,0.77,1,0,0.73
NEWS_65,2023-09-23,North America,War Alert,Medium,Medical Devices,0.33,-0.71,0,1,-0.02
NEWS_66,2022-01-24,Asia,War Alert,Medium,Engineering,-0.95,-0.91,1,0,0.16
NEWS_67,2021-06-05,Global,Stock Crash,Medium,Pharmaceuticals,-0.03,-0.16,0,1,-0.12
NEWS_68,2023-06-12,North America,Tariff Update,Medium,Engineering,0.8,-0.75,1,0,-0.91
NEWS_69,2024-08-21,Middle East,Tariff Update,Medium,Chemicals,-0.39,-0.01,1,0,-0.3
NEWS_70,2023-05-24,North America,Supply Chain Shock,Low,Chemicals,-0.88,0.98,0,0,0.22
NEWS_71,2023-05-07,North America,Tariff Update,Medium,Chemicals,0.59,0.73,1,1,0.87
NEWS_72,2024-03-02,North America,Stock Crash,High,Medical Devices,0.97,0.89,0,0,0.17
NEWS_73,2021-02-17,Europe,War Alert,Medium,Textiles,-0.18,0.1,0,0,-0.71
NEWS_74,2022-04-25,Global,Supply Chain Shock,High,Textiles,-0.2,0.55,1,0,0.96
NEWS_75,2023-10-18,Asia,Natural Calamity,Low,Pharmaceuticals,-0.05,-0.92,0,1,0.22
NEWS_76,2023-06-14,Europe,Stock Crash,High,Textiles,-0.83,-0.42,1,1,-0.71
NEWS_77,2021-09-17,Europe,Tariff Update,High,Engineering,-0.62,-0.85,1,0,0.63
NEWS_78,2021-07-24,North America,Tariff Update,Low,IT Software,-0.77,-0.89,1,1,-0.57
NEWS_79,2022-07-20,Europe,Tariff Update,High,Auto Parts,0.85,-0.56,0,1,-0.9
NEWS_80,2022-01-22,Middle East,War Alert,High,Pharmaceuticals,-0.57,-0.21,0,1,-0.55
NEWS_81,2022-04-01,Europe,War Alert,Medium,Textiles,-0.05,-1.0,1,1,0.21
NEWS_82,2021-05-15,Middle East,Tariff Update,High,Engineering,0.57,-0.61,0,0,-0.28
NEWS_83,2024-11-21,Middle East,War Alert,Low,Machinery,0.15,0.39,0,0,-0.59
NEWS_84,2022-11-24,Global,War Alert,Low,Auto Parts,-0.35,0.62,1,1,0.83
NEWS_85,2023-09-27,Europe,War Alert,Medium,Solar,-0.29,0.79,1,0,0.58
NEWS_86,2021-08-20,Europe,Stock Crash,Low,Chemicals,0.69,-0.27,0,0,-0.11
NEWS_87,2024-02-12,Asia,Natural Calamity,Low,Machinery,0.63,0.43,1,1,0.67
NEWS_88,2024-06-06,Europe,Natural Calamity,High,Textiles,0.27,0.35,0,1,0.85
NEWS_89,2024-12-22,North America,Tariff Update,Low,Electronics,0.98,-0.93,0,0,-0.59
NEWS_90,2023-03-04,Global,Tariff Update,Medium,Machinery,0.5,0.07,1,0,-0.78
NEWS_91,2022-03-07,Global,Trade Agreement,High,Electronics,-0.2,0.0,1,0,-0.33
NEWS_92,2023-01-15,Middle East,Natural Calamity,Medium,Medical Devices,0.66,0.0,0,0,0.31
NEWS_93,2023-06-10,Middle East,Stock Crash,Low,Auto Parts,-0.51,0.08,0,1,-0.36
NEWS_94,2021-01-08,Asia,Stock Crash,Medium,Chemicals,0.78,-0.82,0,1,0.1
NEWS_95,2024-11-29,Asia,War Alert,Medium,IT Software,0.1,0.82,0,0,-0.8
NEWS_96,2023-10-11,Global,War Alert,Low,Textiles,0.77,-0.72,1,1,0.88
NEWS_97,2024-07-31,Global,Natural Calamity,Medium,Solar,-0.46,0.2,0,0,-0.49
NEWS_98,2023-11-11,North America,Trade Agreement,High,Textiles,-0.19,0.35,0,1,0.8
NEWS_99,2021-10-31,Europe,Natural Calamity,High,Auto Parts,0.93,0.16,1,0,-0.74
NEWS_100,2022-06-13,Global,Tariff Update,High,Solar,-0.66,-0.65,0,1,0.3
NEWS_101,2024-01-23,Asia,Supply Chain Shock,Medium,Solar,0.77,0.02,0,0,-0.91
NEWS_102,2023-10-18,North America,Supply Chain Shock,Medium,Engineering,0.57,0.12,0,1,-0.37
NEWS_103,2023-07-01,Europe,Stock Crash,Low,Solar,-0.66,-0.74,0,1,-0.59
NEWS_104,2022-06-08,Asia,Stock Crash,Low,IT Software,-0.74,-0.12,1,1,-0.88
NEWS_105,2023-05-20,Middle East,Supply Chain Shock,High,Electronics,-0.77,-0.05,1,1,0.21
NEWS_106,2022-06-16,North America,Tariff Update,Medium,Auto Parts,0.56,0.99,0,1,-0.1
NEWS_107,2021-11-08,North America,Trade Agreement,Low,Machinery,0.34,-0.21,1,0,-0.01
NEWS_108,2022-10-23,Middle East,Supply Chain Shock,Medium,Machinery,-0.99,0.23,0,1,-0.35
NEWS_109,2022-10-14,Europe,Tariff Update,Low,Solar,-0.07,0.57,1,0,0.93
NEWS_110,2021-11-18,Asia,Stock Crash,High,Auto Parts,-0.23,-0.38,1,0,-0.82
NEWS_111,2021-08-31,Middle East,Tariff Update,Low,Machinery,-0.65,-0.35,1,0,0.35
NEWS_112,2024-08-08,North America,Trade Agreement,Medium,Textiles,0.92,0.53,1,1,-0.88
NEWS_113,2022-09-05,Global,Natural Calamity,Low,Machinery,0.78,0.2,0,0,-0.31
NEWS_114,2024-05-09,North America,War Alert,Low,Auto Parts,0.71,-0.83,1,0,0.05
NEWS_115,2023-06-05,Europe,Tariff Update,Medium,Auto Parts,0.51,0.93,1,1,-0.73
NEWS_116,2024-02-12,Global,War Alert,Low,Machinery,0.37,0.05,1,0,0.7
NEWS_117,2022-08-10,Asia,War Alert,Medium,Auto Parts,0.33,-0.31,0,1,0.37
NEWS_118,2022-09-29,Asia,Tariff Update,High,Chemicals,-0.77,0.29,0,0,0.53
NEWS_119,2023-10-17,North America,Natural Calamity,Medium,Chemicals,-0.53,0.8,0,0,0.55
NEWS_120,2023-05-20,Asia,Natural Calamity,High,Engineering,-0.93,0.75,0,0,0.04
NEWS_121,2022-11-04,Global,Natural Calamity,Low,IT Software,0.5,0.83,0,1,-0.82
NEWS_122,2024-08-31,Middle East,Supply Chain Shock,Medium,Electronics,-0.44,-0.19,0,1,0.95
NEWS_123,2022-06-12,North America,Tariff Update,Low,IT Software,-0.2,-0.39,0,0,0.92
NEWS_124,2024-02-09,Europe,Tariff Update,High,Pharmaceuticals,-0.95,-0.47,1,1,-0.94
NEWS_125,2025-01-16,Asia,Supply Chain Shock,High,Pharmaceuticals,0.29,0.33,0,1,-0.95
NEWS_126,2021-07-11,Global,Supply Chain Shock,High,Solar,-0.57,0.45,1,1,-0.2
NEWS_127,2023-07-17,Asia,Stock Crash,Low,Medical Devices,-0.21,-0.08,0,1,0.79
NEWS_128,2022-08-12,Asia,Supply Chain Shock,High,Chemicals,-0.9,0.52,0,0,0.0
NEWS_129,2024-08-26,Asia,Tariff Update,High,Machinery,-0.2,0.72,1,1,-0.73
NEWS_130,2021-08-10,Middle East,Natural Calamity,Medium,Solar,-0.2,-0.17,0,0,-0.03
NEWS_131,2024-07-07,Global,Natural Calamity,High,Machinery,-0.96,-0.19,0,0,-0.6
NEWS_132,2021-02-10,Middle East,Tariff Update,Low,Textiles,-0.09,1.0,0,1,1.0
NEWS_133,2022-01-23,Global,War Alert,Low,IT Software,0.15,-0.54,0,0,-0.23
NEWS_134,2021-05-15,Asia,War Alert,Low,Engineering,0.78,-0.01,0,1,0.64
NEWS_135,2021-10-25,Asia,Natural Calamity,High,Machinery,0.17,0.16,0,0,-0.14
NEWS_136,2022-09-23,Europe,Natural Calamity,Medium,Machinery,0.59,-0.17,1,0,-0.8
NEWS_137,2022-04-12,Global,Trade Agreement,High,Electronics,-0.58,-0.44,1,1,-0.48
NEWS_138,2021-12-16,Asia,Supply Chain Shock,Low,Electronics,-0.9,0.82,1,1,0.26
NEWS_139,2021-04-19,Asia,Stock Crash,Medium,Textiles,0.59,0.34,0,0,-0.99
NEWS_140,2024-11-01,Global,Natural Calamity,Medium,Textiles,-0.06,-0.2,0,0,0.16
NEWS_141,2023-10-05,Europe,Supply Chain Shock,High,Chemicals,0.95,-0.22,0,0,-0.63
NEWS_142,2024-08-29,North America,War Alert,Low,Engineering,-0.65,0.87,1,1,0.43
NEWS_143,2022-11-20,Europe,Tariff Update,High,Chemicals,0.74,0.36,0,0,-0.29
NEWS_144,2024-05-20,Global,Tariff Update,High,Textiles,-0.41,0.03,0,0,-0.02
NEWS_145,2023-06-07,Asia,Supply Chain Shock,High,Pharmaceuticals,0.64,-0.98,1,0,0.16
NEWS_146,2022-06-25,Europe,Tariff Update,Medium,Auto Parts,-0.23,-0.29,1,1,0.95
NEWS_147,2021-12-19,North America,Trade Agreement,High,Auto Parts,-0.17,0.16,1,0,0.06
NEWS_148,2021-09-25,Global,War Alert,Low,Machinery,-0.65,-0.83,1,0,-0.25
NEWS_149,2021-09-19,Europe,Supply Chain Shock,High,Auto Parts,-0.55,0.68,1,0,0.21
NEWS_150,2023-04-17,Europe,Supply Chain Shock,High,Chemicals,0.24,-0.75,0,1,-0.74
NEWS_151,2025-01-15,Middle East,Trade Agreement,Low,IT Software,0.14,0.36,0,1,-0.58
NEWS_152,2021-12-27,Global,Supply Chain Shock,Medium,Engineering,0.54,0.58,1,1,0.32
NEWS_153,2024-01-14,Europe,Stock Crash,High,Auto Parts,0.53,0.27,1,1,0.66
NEWS_154,2022-03-30,Middle East,War Alert,High,IT Software,0.18,-0.47,1,0,-0.98
NEWS_155,2023-03-26,Global,Stock Crash,Medium,Auto Parts,-0.71,-0.68,0,1,0.64
NEWS_156,2023-04-23,Asia,Trade Agreement,Low,Chemicals,-0.62,0.42,0,0,-0.58
NEWS_157,2023-02-02,Global,Supply Chain Shock,Low,Medical Devices,-0.62,-0.71,0,0,-0.15
NEWS_158,2023-04-03,Middle East,Stock Crash,High,Textiles,0.96,0.42,0,0,0.55
NEWS_159,2023-09-22,Europe,Trade Agreement,Medium,Textiles,-0.46,-0.49,0,0,0.37
NEWS_160,2024-11-28,Asia,Stock Crash,High,Chemicals,0.19,0.88,1,1,0.14
NEWS_161,2023-01-17,Europe,Trade Agreement,High,Chemicals,0.89,0.49,0,1,-0.47
NEWS_162,2022-01-15,Europe,Natural Calamity,High,Electronics,0.78,0.74,1,0,0.3
NEWS_163,2024-06-29,Middle East,Natural Calamity,Low,Medical Devices,-0.52,-0.87,1,1,-0.22
NEWS_164,2022-04-29,Europe,Natural Calamity,Low,Chemicals,-0.62,-0.14,1,1,0.67
NEWS_165,2024-01-17,North America,Supply Chain Shock,Medium,Auto Parts,0.11,-0.38,0,1,0.84
NEWS_166,2022-05-17,Global,Natural Calamity,Low,Medical Devices,0.94,-0.48,1,0,-0.77
NEWS_167,2022-04-28,Middle East,War Alert,Low,Textiles,0.35,0.9,0,0,-0.98
NEWS_168,2022-03-20,North America,Supply Chain Shock,High,Machinery,0.03,0.43,0,1,-0.49
NEWS_169,2022-08-20,Asia,Stock Crash,Low,Pharmaceuticals,0.93,-0.72,1,0,-0.77
NEWS_170,2024-06-01,Middle East,Natural Calamity,Low,Solar,-0.14,-0.33,0,1,0.48
NEWS_171,2022-04-09,North America,Natural Calamity,High,Engineering,-0.81,0.01,0,0,0.31
NEWS_172,2023-09-19,Middle East,Trade Agreement,Medium,Machinery,-0.18,0.35,0,1,0.16
NEWS_173,2023-01-02,Europe,Supply Chain Shock,Medium,Auto Parts,0.39,-0.88,1,1,0.07
NEWS_174,2021-07-21,Europe,War Alert,High,Medical Devices,-0.41,-0.11,0,1,0.6
NEWS_175,2022-08-16,Global,Stock Crash,Low,Chemicals,0.98,-0.28,1,0,0.08
NEWS_176,2021-08-28,North America,Supply Chain Shock,Low,Chemicals,0.44,0.18,1,0,0.17
NEWS_177,2024-11-11,Europe,Supply Chain Shock,Low,Electronics,-0.39,-0.89,0,1,-0.47
NEWS_178,2021-09-09,Europe,Tariff Update,Medium,Electronics,0.87,-0.61,0,0,0.98
NEWS_179,2022-07-02,Middle East,Tariff Update,Medium,Textiles,-0.41,-0.25,0,0,0.21
NEWS_180,2022-08-11,North America,Supply Chain Shock,Low,Chemicals,-0.52,-0.87,1,1,-0.31
NEWS_181,2022-04-30,Middle East,Tariff Update,High,Engineering,0.14,-0.62,0,1,0.29
NEWS_182,2023-07-20,Asia,Tariff Update,High,Medical Devices,0.8,-0.17,1,0,0.97
NEWS_183,2024-12-01,Middle East,War Alert,High,Medical Devices,0.1,0.82,1,0,-0.41
NEWS_184,2024-03-31,Asia,Tariff Update,Medium,IT Software,0.41,-0.27,0,0,-0.48
NEWS_185,2021-05-22,Global,Tariff Update,Medium,Pharmaceuticals,-0.43,-0.15,1,0,0.46
NEWS_186,2022-11-13,Europe,Trade Agreement,Low,Engineering,0.48,0.21,1,1,0.95
NEWS_187,2024-12-26,Global,Trade Agreement,High,Chemicals,0.35,0.22,0,0,-0.73
NEWS_188,2021-10-05,Europe,Natural Calamity,High,Machinery,-0.42,0.22,1,1,-1.0
NEWS_189,2024-06-27,North America,Natural Calamity,Medium,Textiles,0.03,0.61,1,0,0.19
NEWS_190,2021-05-29,Asia,Trade Agreement,Low,Machinery,-0.08,-0.44,1,0,-0.76
NEWS_191,2025-01-09,Global,Natural Calamity,Low,Electronics,0.84,-0.4,0,1,-0.59
NEWS_192,2024-04-14,Global,War Alert,Low,Chemicals,-0.18,0.83,1,1,0.5
NEWS_193,2021-07-06,Asia,Stock Crash,High,Pharmaceuticals,0.11,0.16,0,0,-0.41
NEWS_194,2021-04-23,North America,Natural Calamity,Low,IT Software,-0.38,0.6,0,1,0.33
NEWS_195,2023-03-09,North America,Tariff Update,Medium,Chemicals,0.52,-0.06,1,0,0.94
NEWS_196,2021-03-22,Europe,Supply Chain Shock,Medium,Chemicals,0.34,-0.79,0,1,0.66
NEWS_197,2023-10-17,Asia,Supply Chain Shock,High,Medical Devices,0.42,0.64,0,0,0.17
NEWS_198,2025-02-02,Global,Stock Crash,Medium,IT Software,-0.34,-0.1,1,1,0.78
NEWS_199,2024-09-13,Middle East,Stock Crash,Low,Auto Parts,0.79,0.59,1,0,0.24
NEWS_200,2022-08-20,Global,War Alert,Medium,Electronics,-0.18,-0.64,1,1,-0.54
NEWS_201,2024-08-24,Global,Supply Chain Shock,High,Auto Parts,0.61,-0.54,0,0,0.81
NEWS_202,2021-11-22,North America,Supply Chain Shock,Low,Machinery,-0.45,-1.0,1,0,0.59
NEWS_203,2023-12-05,Europe,Supply Chain Shock,Low,Textiles,-0.54,-0.67,1,1,-0.26
NEWS_204,2023-03-03,Asia,Stock Crash,Medium,Pharmaceuticals,0.6,-0.45,1,1,-0.78
NEWS_205,2022-02-02,North America,Stock Crash,High,Auto Parts,0.24,0.15,1,1,-0.22
NEWS_206,2024-12-07,Middle East,Natural Calamity,High,Machinery,0.42,0.88,0,1,-0.59
NEWS_207,2024-05-12,North America,War Alert,Low,Solar,1.0,0.91,1,0,0.17
NEWS_208,2022-06-07,Middle East,Natural Calamity,Low,Machinery,-0.26,-0.36,0,1,0.92
NEWS_209,2021-09-29,Europe,Supply Chain Shock,Medium,Textiles,0.2,-0.38,1,0,0.48
NEWS_210,2021-03-23,Europe,Stock Crash,High,Machinery,0.01,-0.66,1,0,0.79
NEWS_211,2024-03-08,Asia,Trade Agreement,Low,Auto Parts,0.88,0.25,1,0,0.21
NEWS_212,2022-03-15,Asia,Natural Calamity,Low,Machinery,0.94,-0.85,1,0,0.72
NEWS_213,2022-06-15,Asia,Trade Agreement,Low,Electronics,0.92,-0.14,0,0,0.46
NEWS_214,2021-11-09,Middle East,Supply Chain Shock,High,IT Software,-0.33,-0.38,1,0,0.76
NEWS_215,2021-11-29,North America,Natural Calamity,Low,IT Software,0.09,-0.38,1,1,-0.85
NEWS_216,2022-03-19,Europe,Supply Chain Shock,Low,Electronics,0.5,0.6,1,0,-0.24
NEWS_217,2023-11-16,Middle East,Tariff Update,Medium,Medical Devices,0.81,-0.41,1,1,0.24
NEWS_218,2021-09-22,Europe,Natural Calamity,High,Medical Devices,-0.66,-0.06,0,1,0.41
NEWS_219,2024-05-11,Asia,Tariff Update,Low,Pharmaceuticals,0.62,-0.6,1,1,0.18
NEWS_220,2024-07-30,North America,Trade Agreement,Medium,IT Software,-0.61,0.7,1,0,0.77
NEWS_221,2023-01-21,Europe,Trade Agreement,Low,Engineering,-0.33,0.01,0,1,0.82
NEWS_222,2021-11-10,Europe,War Alert,Low,IT Software,-0.35,-0.93,1,0,0.72
NEWS_223,2022-10-16,Europe,War Alert,High,Auto Parts,0.0,-0.64,1,1,0.49
NEWS_224,2024-08-27,Asia,Trade Agreement,Low,IT Software,-0.57,-0.82,1,0,-0.05
NEWS_225,2024-11-09,Asia,War Alert,High,Medical Devices,-0.4,-0.56,1,1,-0.86
NEWS_226,2022-11-03,Middle East,Trade Agreement,Low,Textiles,0.78,0.97,0,0,0.19
NEWS_227,2025-01-06,North America,Tariff Update,High,Medical Devices,-0.98,0.89,1,1,-0.6
NEWS_228,2021-06-01,Europe,Tariff Update,Low,Chemicals,-0.33,-0.43,0,1,-0.31
NEWS_229,2021-04-13,Middle East,War Alert,Medium,Medical Devices,-0.81,0.53,1,0,-0.88
NEWS_230,2023-01-25,Global,War Alert,High,Engineering,-0.29,-0.72,0,0,0.42
NEWS_231,2021-12-31,Global,Tariff Update,Low,IT Software,0.02,0.97,0,0,-0.56
NEWS_232,2023-07-22,Middle East,Natural Calamity,High,Chemicals,0.39,-0.62,0,1,0.7
NEWS_233,2024-02-03,Europe,War Alert,High,Textiles,0.63,0.52,0,1,0.59
NEWS_234,2025-01-01,North America,Tariff Update,Low,Pharmaceuticals,-0.58,-0.77,0,1,-0.12
NEWS_235,2022-04-24,Global,Natural Calamity,Medium,Medical Devices,0.18,-0.93,0,1,-0.41
NEWS_236,2021-10-22,Global,Tariff Update,High,Engineering,-0.51,0.53,0,0,0.28
NEWS_237,2022-09-21,Middle East,War Alert,High,Electronics,0.33,0.88,0,1,0.73
NEWS_238,2021-10-27,North America,Stock Crash,Low,Chemicals,0.39,-0.97,1,0,0.15
NEWS_239,2024-12-01,Global,Stock Crash,Medium,Electronics,-0.2,0.56,0,1,0.19
NEWS_240,2022-11-02,Asia,Trade Agreement,Low,Chemicals,0.57,0.18,1,1,0.78
NEWS_241,2023-08-18,Europe,War Alert,High,Machinery,0.31,-0.15,0,0,0.18
NEWS_242,2024-02-17,Asia,Trade Agreement,Medium,Electronics,0.94,-0.32,1,0,0.06
NEWS_243,2021-07-10,Asia,Trade Agreement,High,Solar,-0.3,0.43,1,0,-0.9
NEWS_244,2023-07-04,Global,War Alert,High,Pharmaceuticals,0.54,0.38,0,1,0.01
NEWS_245,2024-03-13,Europe,Stock Crash,Low,Pharmaceuticals,0.79,-0.28,1,0,0.62
NEWS_246,2022-05-22,Asia,Tariff Update,High,Pharmaceuticals,-0.24,-0.94,0,1,-0.64
NEWS_247,2021-02-27,Middle East,Natural Calamity,Low,Chemicals,0.4,-0.18,1,1,0.51
NEWS_248,2022-04-21,Europe,Supply Chain Shock,Low,Medical Devices,0.76,-0.93,1,1,-0.43
NEWS_249,2023-12-22,North America,War Alert,High,Textiles,-0.56,-0.03,0,0,-0.69
NEWS_250,2023-12-20,Europe,Trade Agreement,Low,IT Software,-0.13,-0.36,0,0,0.48
NEWS_251,2023-04-07,Asia,Trade Agreement,Low,Chemicals,0.22,0.05,0,0,-0.41
NEWS_252,2021-07-29,Asia,Trade Agreement,Low,Textiles,0.41,0.98,0,1,-0.72
NEWS_253,2021-07-20,Global,War Alert,High,Medical Devices,-0.52,-0.35,1,1,-0.12
NEWS_254,2024-01-04,Asia,Stock Crash,Medium,Textiles,0.77,-0.47,1,0,0.87
NEWS_255,2024-02-22,Middle East,Tariff Update,High,Solar,0.38,-0.51,0,1,0.39
NEWS_256,2024-12-06,Global,Natural Calamity,High,IT Software,0.18,-0.18,0,0,-0.93
NEWS_257,2024-10-04,Middle East,Tariff Update,Low,Medical Devices,0.35,0.59,0,0,0.73
NEWS_258,2024-07-08,Asia,Supply Chain Shock,Low,Medical Devices,0.96,-0.95,1,0,0.12
NEWS_259,2024-03-25,Europe,Tariff Update,Medium,Solar,0.55,-0.45,1,1,-0.34
NEWS_260,2024-06-02,Asia,Tariff Update,High,Auto Parts,0.41,0.19,0,0,-0.48
NEWS_261,2021-05-26,Global,Stock Crash,High,Solar,-0.79,0.62,0,1,-0.51
NEWS_262,2025-02-08,Global,Tariff Update,Low,Auto Parts,0.63,-0.98,0,1,-0.75
NEWS_263,2024-02-12,Europe,Stock Crash,High,Engineering,-0.25,-0.19,1,0,0.2
NEWS_264,2023-12-02,Middle East,Stock Crash,High,Textiles,-0.74,0.84,1,0,-0.81
NEWS_265,2024-07-28,Europe,Trade Agreement,Low,Pharmaceuticals,0.75,-0.36,1,1,0.77
NEWS_266,2023-10-08,Europe,War Alert,Medium,Engineering,-0.6,0.42,0,1,-0.07
NEWS_267,2021-03-29,Middle East,Trade Agreement,High,Chemicals,0.12,-0.87,0,1,0.46
NEWS_268,2023-02-26,Middle East,Trade Agreement,Low,Engineering,-0.59,0.46,1,0,0.97
NEWS_269,2021-05-27,Asia,War Alert,Medium,Engineering,-0.41,0.09,1,0,-0.65
